City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,fort mcmurray,56.7292,-111.3885,299.91,48,100,2.97,CA,2023-07-23
138,tutong,4.8067,114.6595,298.13,92,100,2.29,BN,2023-07-23
139,tinajo,29.0667,-13.6762,294.95,73,40,6.17,ES,2023-07-23
140,nokha,27.5575,73.4724,305.02,58,100,3.85,IN,2023-07-23
141,san jose del cabo,23.0598,-109.7025,305.8,73,100,4.12,MX,2023-07-23
142,caleta de carquin,-11.0918,-77.6283,293.37,78,3,4.68,PE,2023-07-23
143,villa madero,-34.6884,-58.4999,285.94,64,100,4.13,AR,2023-07-23
144,bereznik,62.8555,42.7101,285.26,98,100,2.19,RU,2023-07-23
145,hithadhoo,1.7959,73.3876,301.24,75,5,3.86,MV,2023-07-23
146,bouna,9.273,-2.997,296.38,94,56,1.85,CI,2023-07-23
147,kupang,-10.1632,123.6018,296.84,72,100,7.73,ID,2023-07-23
148,ancud,-41.8682,-73.8287,277.98,83,100,4.08,CL,2023-07-23
149,lebu,-37.61,-73.6559,282.08,84,85,1.8,CL,2023-07-23
150,talnakh,69.494,88.3908,284.03,80,15,0.5,RU,2023-07-23
151,tromso,69.6516,18.9558,286.64,82,100,2.06,NO,2023-07-23
152,ampanihy,-24.6941,44.7477,289.65,94,0,1.71,MG,2023-07-23
153,aasiaat,68.7096,-52.8513,276.71,96,100,0.47,GL,2023-07-23
154,thompson,55.7433,-97.8635,296.51,31,20,4.0,CA,2023-07-23
155,brisas de zicatela,15.8367,-97.0429,301.44,69,75,4.12,MX,2023-07-23
156,birao,10.2962,22.781,296.26,86,26,1.69,CF,2023-07-23
157,smithers,54.7792,-127.1761,295.36,35,78,0.8,CA,2023-07-23
158,mao,31.6835,103.8502,292.45,92,100,0.53,CN,2023-07-23
159,la'ie,21.6438,-157.9244,304.13,72,9,6.15,US,2023-07-23
160,lospalos,-8.522,126.9987,295.19,65,72,4.22,TL,2023-07-23
161,port lincoln,-34.7212,135.8592,285.79,76,100,1.43,AU,2023-07-23
162,verkhnevilyuysk,63.4498,120.3147,296.59,59,19,1.91,RU,2023-07-23
163,fort st. john,56.2524,-120.8469,296.05,26,100,2.76,CA,2023-07-23
164,chibougamau,49.9137,-74.3714,296.29,42,18,1.98,CA,2023-07-23
165,baykalovo,64.5789,40.2618,284.08,93,96,2.52,RU,2023-07-23
166,bengkulu,-3.7923,102.2624,297.2,92,99,3.08,ID,2023-07-23
167,alofi,-19.0534,-169.9192,297.25,66,58,7.72,NU,2023-07-23
168,harran,36.871,39.0251,304.65,25,0,4.06,TR,2023-07-23
169,isafjordur,66.0727,-23.1194,284.09,88,100,1.77,IS,2023-07-23
170,san antonio de pale,-1.4046,5.6326,295.81,82,69,4.88,GQ,2023-07-23
171,weno,7.4401,151.857,298.97,83,100,6.65,FM,2023-07-23
172,olonkinbyen,70.9224,-8.716,277.91,91,98,5.06,SJ,2023-07-23
173,bima,-8.4534,118.7277,296.03,89,44,1.82,ID,2023-07-23
174,bonthe,7.5273,-12.502,298.51,86,100,3.71,SL,2023-07-23
175,yerofey pavlovich,53.9592,121.9524,294.03,61,100,0.4,RU,2023-07-23
176,ak'ordat,15.55,37.8863,301.59,59,82,2.78,ER,2023-07-23
177,valparaiso,-33.0458,-71.6197,285.84,82,0,2.06,CL,2023-07-23
178,manakara,-22.1453,48.0081,291.38,94,8,1.63,MG,2023-07-23
179,santa marta,11.2321,-74.1951,305.16,58,20,0.0,CO,2023-07-23
180,nantucket,41.3157,-70.009,297.65,76,0,2.68,US,2023-07-23
181,culpeper,38.4732,-77.9967,302.96,58,0,3.6,US,2023-07-23
182,kuhmo,64.1262,29.5195,282.37,99,100,1.45,FI,2023-07-23
183,beipiao,41.7998,120.7635,296.11,83,2,1.63,CN,2023-07-23
184,amlagora,22.8446,87.3366,300.18,86,95,1.83,IN,2023-07-23
185,anna regina,7.2623,-58.4823,300.04,76,30,3.15,GY,2023-07-23
186,sormiou,43.2245,5.4032,298.54,39,21,3.81,FR,2023-07-23
187,cabedelo,-6.9732,-34.8352,297.53,82,12,6.51,BR,2023-07-23
188,tambacounda,13.7693,-13.6683,300.52,79,100,3.88,SN,2023-07-23
189,island harbour,49.6,-54.3,289.67,99,100,4.64,CA,2023-07-23
190,kota belud,6.3498,116.4293,299.09,79,100,2.84,MY,2023-07-23
191,port alfred,-33.5982,26.8915,284.85,82,97,2.24,ZA,2023-07-23
192,piacabucu,-10.4067,-36.4337,296.71,79,1,4.63,BR,2023-07-23
193,howrah,22.5736,88.3251,300.12,100,40,0.0,IN,2023-07-23
194,new norfolk,-42.7802,147.0615,285.9,77,96,2.41,AU,2023-07-23
195,broome,-17.9637,122.223,286.08,44,4,5.14,AU,2023-07-23
196,mar del plata,-37.9977,-57.5483,281.5,83,100,4.47,AR,2023-07-23
197,kasempa,-13.4583,25.8315,287.91,49,0,2.63,ZM,2023-07-23
198,cova figueira,14.8899,-24.2941,295.94,77,53,3.19,CV,2023-07-23
199,sarkand,45.4109,79.9155,292.91,36,2,3.35,KZ,2023-07-23
200,slonim,53.0927,25.3193,289.92,66,100,2.63,BY,2023-07-23
201,amungan,15.3641,119.9585,300.36,82,81,1.6,PH,2023-07-23
202,san luis potosi,22.1516,-100.9764,299.94,26,75,6.69,MX,2023-07-23
203,yemva,62.5983,50.8879,284.59,98,56,2.92,RU,2023-07-23
204,mount pearl,47.5189,-52.8145,294.96,90,87,1.34,CA,2023-07-23
205,aioun,16.6598,-9.6179,308.67,35,19,2.97,MR,2023-07-23
206,armyansk,46.1133,33.6904,294.84,55,35,3.47,UA,2023-07-23
207,puerto lopez,4.0892,-72.9606,297.95,85,40,1.85,CO,2023-07-23
208,guerrero negro,27.971,-114.0364,299.6,50,3,7.26,MX,2023-07-23
209,bath,51.3814,-2.3597,289.72,89,90,2.15,GB,2023-07-23
210,chonchi,-42.624,-73.7724,278.44,90,100,0.9,CL,2023-07-23
211,zaraysk,54.7586,38.8818,285.54,96,62,3.19,RU,2023-07-23
212,suruc,36.9755,38.4242,302.48,28,0,6.03,TR,2023-07-23
213,yinchuan,38.4852,106.2262,298.3,38,22,3.52,CN,2023-07-23
214,villa gesell,-37.2556,-56.9681,282.07,66,100,5.87,AR,2023-07-23
215,kalevala,65.2001,31.1802,282.7,97,100,2.9,RU,2023-07-23
216,sitka,57.0525,-135.3376,288.05,88,100,2.06,US,2023-07-23
217,anadyr,64.7317,177.5061,287.08,82,100,3.0,RU,2023-07-23
218,brookings,44.3115,-96.7984,303.21,57,6,3.63,US,2023-07-23
219,kingston,17.9712,-76.7928,305.88,68,20,12.35,JM,2023-07-23
220,slyudyanka,51.6568,103.7193,289.1,99,100,1.01,RU,2023-07-23
221,borgo,46.0533,11.4566,295.56,72,10,1.03,IT,2023-07-23
222,suva,-18.1416,178.4422,298.86,69,75,1.54,FJ,2023-07-23
223,vernon,49.0918,1.4887,292.29,92,98,4.75,FR,2023-07-23
224,lompoc,34.6392,-120.4579,298.49,78,100,3.6,US,2023-07-23
225,yuzhno-kurilsk,44.0271,145.8614,289.28,96,99,1.19,RU,2023-07-23
226,nisporeni,47.0749,28.1778,292.31,50,18,0.53,MD,2023-07-23
227,floro,61.6003,5.035,288.19,88,50,1.54,NO,2023-07-23
228,paita,-5.0852,-81.1137,296.37,77,2,7.95,PE,2023-07-23
229,loa janan,-0.5876,117.0887,296.21,98,60,1.16,ID,2023-07-23
230,carnarvon,-24.881,113.6595,287.45,34,0,7.89,AU,2023-07-23
231,euclides da cunha,-10.5061,-39.013,293.03,65,2,4.77,BR,2023-07-23
232,jejuri,18.2769,74.1602,295.55,88,100,6.46,IN,2023-07-23
233,durgapur,23.535,87.338,299.95,88,75,2.19,IN,2023-07-23
234,richards bay,-28.7708,32.0578,291.76,88,38,4.55,ZA,2023-07-23
235,praia da vitoria,38.7392,-27.1563,294.05,82,24,3.51,PT,2023-07-23
236,mount isa,-20.729,139.4932,283.07,57,0,4.12,AU,2023-07-23
237,soritor,-6.1379,-77.1013,295.62,77,59,0.47,PE,2023-07-23
238,kismayo,-0.3602,42.5409,297.9,83,72,7.59,SO,2023-07-23
239,ruyigi,-3.4733,30.2501,289.69,55,14,0.57,BI,2023-07-23
240,alotau,-10.3061,150.4464,297.35,81,81,3.06,PG,2023-07-23
241,crane,31.3957,-102.3521,311.26,15,37,3.96,US,2023-07-23
242,forio,40.7368,13.8581,302.2,91,7,0.45,IT,2023-07-23
243,happy valley-goose bay,53.2964,-60.3112,296.44,73,75,0.0,CA,2023-07-23
244,kendari,-3.9918,122.518,295.95,89,34,1.25,ID,2023-07-23
245,kuusamo,65.9646,29.1883,282.88,92,100,1.23,FI,2023-07-23
246,lauro de freitas,-12.8924,-38.3128,299.15,78,20,5.14,BR,2023-07-23
247,vilyuchinsk,52.9318,158.4054,293.32,76,58,5.81,RU,2023-07-23
248,fuvahmulah,-0.2948,73.4241,301.39,76,50,3.82,MV,2023-07-23
249,guilin,25.2387,110.1751,299.34,89,79,1.01,CN,2023-07-23
250,sinabang,2.4795,96.3806,299.03,81,93,0.97,ID,2023-07-23
251,mata-utu,-13.282,-176.174,300.32,72,49,7.98,WF,2023-07-23
252,tolanaro,-25.0297,46.9904,294.03,83,20,6.17,MG,2023-07-23
253,shingu,33.7241,135.993,300.28,74,6,1.32,JP,2023-07-23
254,san pedro pochutla,15.7444,-96.4653,296.01,62,96,2.02,MX,2023-07-23
255,kudahuvadhoo,2.6705,72.8906,301.18,76,14,3.92,MV,2023-07-23
256,rubtsovsk,51.5276,81.2176,290.68,52,74,0.53,RU,2023-07-23
257,dana point,33.467,-117.6981,306.22,90,100,0.89,US,2023-07-23
258,kruisfontein,-34.012,24.7433,283.15,76,46,6.92,ZA,2023-07-23
259,tosontsengel,49.4757,100.8926,285.31,77,13,2.28,MN,2023-07-23
260,dongcun,25.5193,102.6742,290.74,98,53,0.67,CN,2023-07-23
261,baiyin,36.5452,104.1355,292.34,70,52,1.73,CN,2023-07-23
262,kavieng,-2.5735,150.7952,301.55,76,68,5.68,PG,2023-07-23
263,beyneu,45.3214,55.1862,303.41,23,52,6.25,KZ,2023-07-23
264,namtsy,62.7182,129.6642,296.61,54,88,1.79,RU,2023-07-23
265,fandrandava,-21.5206,47.2453,283.69,97,9,0.55,MG,2023-07-23
266,mana,43.0818,0.9505,296.64,79,16,1.7,FR,2023-07-23
267,jiamusi,46.8088,130.3735,294.41,86,82,7.29,CN,2023-07-23
268,riverton,40.687,-95.5682,303.51,58,0,1.54,US,2023-07-23
269,narrabri,-30.3296,149.7814,284.51,76,0,2.24,AU,2023-07-23
270,cumaribo,4.4471,-69.7976,297.28,91,66,0.47,CO,2023-07-23
271,esquel,-42.9134,-71.3133,274.01,75,100,1.8,AR,2023-07-23
272,bodden town,19.2844,-81.2604,306.16,73,20,4.63,KY,2023-07-23
273,kushiro,42.985,144.382,293.7,100,75,1.03,JP,2023-07-23
274,thinadhoo,0.5294,72.9988,301.4,74,9,4.04,MV,2023-07-23
275,az zulfi,26.2996,44.8152,306.37,9,71,4.78,SA,2023-07-23
276,rongelap,11.1629,166.8943,301.79,70,23,7.53,MH,2023-07-23
277,aoulef,26.9722,1.0787,311.65,15,42,1.15,DZ,2023-07-23
278,sumenep,-7.0067,113.8599,297.59,85,8,3.69,ID,2023-07-23
279,swift current,50.2849,-107.7984,305.42,24,13,3.4,CA,2023-07-23
280,el abiodh sidi cheikh,32.8965,0.5464,303.59,11,52,3.9,DZ,2023-07-23
281,kokpekty,49.9354,73.2847,288.21,52,86,2.15,KZ,2023-07-23
282,lesnoy,55.0119,20.6171,288.2,89,100,1.0,RU,2023-07-23
283,paracatu,-17.2174,-46.8708,294.02,45,6,1.07,BR,2023-07-23
284,augusto correa,-1.0229,-46.6404,297.78,85,89,1.61,BR,2023-07-23
285,vadso,70.2267,29.7828,278.26,93,100,6.69,NO,2023-07-23
286,praia,14.9163,-23.5095,299.47,78,40,4.63,CV,2023-07-23
287,acarau,-2.8877,-40.1183,299.13,78,51,6.6,BR,2023-07-23
288,dalaba,10.6912,-12.2516,290.59,97,100,1.03,GN,2023-07-23
289,santo domingo zanatepec,16.4806,-94.3524,304.0,70,89,0.94,MX,2023-07-23
290,nadym,65.5336,72.5114,289.95,78,23,2.42,RU,2023-07-23
291,bobo-dioulasso,11.1771,-4.2979,298.4,83,20,1.54,BF,2023-07-23
292,nova sintra,14.8711,-24.6956,296.14,78,93,4.24,CV,2023-07-23
293,sobrance,48.7447,22.1807,292.24,66,38,1.86,SK,2023-07-23
294,codrington,51.5082,-2.3937,289.08,89,78,0.89,GB,2023-07-23
295,qingdao,36.0649,120.3804,298.13,86,0,1.27,CN,2023-07-23
296,lorengau,-2.033,147.2789,301.07,75,94,2.89,PG,2023-07-23
297,sabang,5.8927,95.3226,301.17,72,100,9.58,ID,2023-07-23
298,greenville,34.8514,-82.3985,304.01,79,100,3.6,US,2023-07-23
299,haifa,32.8191,34.9984,301.04,81,0,2.26,IL,2023-07-23
300,basco,40.3278,-91.2001,304.4,17,40,6.38,US,2023-07-23
301,alvaraes,-3.2148,-64.8143,302.2,65,65,1.33,BR,2023-07-23
302,morshansk,53.4429,41.8131,287.39,94,40,2.55,RU,2023-07-23
303,formosa do rio preto,-11.0415,-45.1904,295.53,45,4,1.55,BR,2023-07-23
304,black point,24.0963,-76.4023,303.65,79,2,3.03,BS,2023-07-23
305,kievka,54.3963,62.8787,289.04,60,90,2.69,RU,2023-07-23
306,callao,-12.0523,-77.1391,295.73,64,20,5.14,PE,2023-07-23
307,canoinhas,-26.1755,-50.395,290.79,79,86,0.84,BR,2023-07-23
308,vanino,49.0905,140.2609,291.69,89,90,2.07,RU,2023-07-23
309,tumpat,6.2003,102.1707,297.68,91,69,1.87,MY,2023-07-23
310,markovo,42.3473,25.2238,295.76,72,24,2.7,BG,2023-07-23
311,queenstown,-45.0322,168.661,281.1,89,87,1.2,NZ,2023-07-23
312,tashtyp,52.7959,89.8917,287.05,95,77,2.34,RU,2023-07-23
313,nuku'alofa,-21.1343,-175.2018,297.34,69,40,2.57,TO,2023-07-23
314,bom jesus,-28.6693,-50.4347,286.99,92,32,1.29,BR,2023-07-23
315,gadzhiyevo,69.2504,33.3153,282.3,93,100,6.49,RU,2023-07-23
316,yanam,16.7334,82.2145,298.2,91,100,4.03,IN,2023-07-23
317,yaren,-0.5471,166.9164,301.76,72,2,2.17,NR,2023-07-23
318,montmagny,48.9729,2.3436,294.38,83,100,4.63,FR,2023-07-23
319,paraparaumu,-40.9145,175.0062,285.54,86,99,5.59,NZ,2023-07-23
320,torrington,41.8007,-73.1212,300.59,67,1,1.36,US,2023-07-23
321,kununurra,-15.7731,128.7388,290.1,34,84,7.2,AU,2023-07-23
322,ploermel,47.9324,-2.3981,289.59,97,80,3.21,FR,2023-07-23
323,enewetak,11.3409,162.3245,301.79,77,78,8.48,MH,2023-07-23
324,ola,35.0323,-93.2232,306.87,32,13,1.89,US,2023-07-23
325,magdagachi,53.4509,125.8035,293.2,58,100,1.9,RU,2023-07-23
326,hola,-1.4977,40.0349,296.25,85,80,4.72,KE,2023-07-23
327,amahai,-3.3082,129.0011,300.45,84,73,3.88,ID,2023-07-23
328,bukama,-11.7055,27.4726,288.33,56,0,2.0,CD,2023-07-23
329,tazovsky,67.4735,78.7149,288.22,90,91,1.94,RU,2023-07-23
330,nova xavantina,-14.6771,-52.3502,297.16,37,0,1.05,BR,2023-07-23
331,mazagao,-0.1161,-51.2862,302.18,75,53,1.8,BR,2023-07-23
332,smidovich,48.5957,133.8138,292.06,98,100,4.64,RU,2023-07-23
333,alice springs,-23.6984,133.8813,276.9,81,100,3.6,AU,2023-07-23
334,thames,-37.138,175.5418,284.82,79,24,1.81,NZ,2023-07-23
335,west wodonga,-36.1015,146.8275,281.01,100,0,1.12,AU,2023-07-23
336,aitape,-3.151,142.3594,298.63,90,100,2.36,PG,2023-07-23
337,bensonville,5.9265,-9.9567,297.45,90,100,2.88,LR,2023-07-23
338,saint-pierre,48.3833,7.4719,295.22,68,97,1.5,FR,2023-07-23
339,badiyah,22.4501,58.8003,300.48,72,100,2.41,OM,2023-07-23
340,oskarshamn,57.2633,16.4443,287.58,97,100,2.03,SE,2023-07-23
341,ust'-kut,56.781,105.746,291.33,82,96,0.86,RU,2023-07-23
342,mae hong son,19.3015,97.9666,295.98,97,12,0.43,TH,2023-07-23
343,tocopilla,-22.0887,-70.1961,290.99,80,24,2.44,CL,2023-07-23
344,altai,48.3036,89.5145,282.78,40,60,3.85,MN,2023-07-23
345,ciudad acuna,29.3249,-100.9322,306.33,48,0,7.2,MX,2023-07-23
